仓库信息,平均温度,粮情时间
11仓,4.400000095367432,2015-01-18
11仓,4.949999809265137,2015-01-19
11仓,5.349999904632568,2015-01-20
11仓,3.9499998092651367,2015-01-21
11仓,3.9499998092651367,2015-01-22
11仓,3.799999952316284,2015-01-23
11仓,4.800000190734863,2015-03-01
11仓,4.800000190734863,2015-03-02
11仓,4.800000190734863,2015-03-03
11仓,4.949999809265137,2015-03-04
11仓,4.949999809265137,2015-03-05
11仓,5.0,2015-03-06
11仓,5.0,2015-03-07
11仓,5.0,2015-03-08
11仓,5.150000095367432,2015-03-09
11仓,3.8499999046325684,2015-03-10
11仓,3.8499999046325684,2015-03-11
11仓,3.8499999046325684,2015-03-12
11仓,3.9000000953674316,2015-03-13
11仓,3.9000000953674316,2015-03-14
11仓,3.950000047683716,2015-03-16
11仓,3.950000047683716,2015-03-17
11仓,5.400000095367432,2015-03-18
11仓,5.449999809265137,2015-03-19
11仓,5.5,2015-03-20
11仓,5.5,2015-03-21
11仓,5.5,2015-03-22
11仓,5.550000190734863,2015-03-23
11仓,5.599999904632568,2015-03-24
11仓,5.599999904632568,2015-03-25
11仓,5.599999904632568,2015-03-26
11仓,5.649999618530273,2015-03-27
11仓,4.199999809265137,2015-03-29
11仓,4.199999809265137,2015-03-30
11仓,4.300000190734863,2015-03-31
11仓,5.800000190734863,2015-04-01
11仓,5.949999809265137,2015-04-02
11仓,5.949999809265137,2015-04-03
11仓,4.400000095367432,2015-04-04
11仓,4.5,2015-04-06
11仓,4.5,2015-04-07
11仓,4.599999904632568,2015-04-08
11仓,6.050000190734863,2015-04-09
11仓,6.099999904632568,2015-04-10
11仓,6.099999904632568,2015-04-11
11仓,6.199999809265137,2015-04-12
11仓,6.199999809265137,2015-04-13
11仓,6.300000190734863,2015-04-14
11仓,6.300000190734863,2015-04-15
11仓,4.699999809265137,2015-04-16
11仓,4.800000190734863,2015-04-17
11仓,6.400000095367432,2015-04-18
11仓,6.400000095367432,2015-04-20
11仓,4.850000381469727,2015-04-21
11仓,4.850000381469727,2015-04-22
11仓,4.850000381469727,2015-04-23
11仓,4.949999809265137,2015-04-24
11仓,4.949999809265137,2015-04-25
11仓,4.949999809265137,2015-04-26
11仓,4.949999809265137,2015-04-27
11仓,6.550000190734863,2015-04-28
11仓,5.0,2015-04-29
11仓,5.0,2015-04-30
11仓,5.0,2015-05-01
11仓,5.050000190734863,2015-05-04
11仓,5.050000190734863,2015-05-05
11仓,5.050000190734863,2015-05-06
11仓,6.699999809265137,2015-05-07
11仓,5.050000190734863,2015-05-08
11仓,5.050000190734863,2015-05-09
11仓,5.099999904632568,2015-05-10
11仓,6.800000190734863,2015-05-11
11仓,5.149999618530273,2015-05-12
11仓,5.149999618530273,2015-05-13
11仓,5.149999618530273,2015-05-14
11仓,6.900000095367432,2015-05-15
11仓,5.149999618530273,2015-05-16
11仓,5.149999618530273,2015-05-17
11仓,5.199999809265137,2015-05-18
11仓,7.0,2015-05-19
11仓,7.0,2015-05-20
11仓,5.300000190734863,2015-05-21
11仓,7.0,2015-05-22
11仓,7.0,2015-05-23
11仓,7.0,2015-05-24
11仓,7.050000190734863,2015-05-25
11仓,7.050000190734863,2015-05-26
11仓,7.050000190734863,2015-05-27
11仓,5.449999809265137,2015-05-29
11仓,5.449999809265137,2015-05-30
11仓,5.449999809265137,2015-05-31
11仓,5.449999809265137,2015-06-01
11仓,7.199999809265137,2015-06-02
11仓,7.199999809265137,2015-06-03
11仓,7.199999809265137,2015-06-04
11仓,7.199999809265137,2015-06-05
11仓,7.199999809265137,2015-06-06
11仓,7.300000190734863,2015-06-07
11仓,5.550000190734863,2015-06-08
11仓,5.5,2015-06-09
11仓,7.350000381469727,2015-06-15
11仓,7.350000381469727,2015-06-16
11仓,7.400000095367432,2015-06-17
11仓,7.350000381469727,2015-06-18
11仓,7.350000381469727,2015-06-19
11仓,7.400000095367432,2015-06-20
11仓,7.400000095367432,2015-06-21
11仓,7.400000095367432,2015-06-22
11仓,7.449999809265137,2015-06-23
11仓,7.400000095367432,2015-06-24
11仓,7.400000095367432,2015-06-25
11仓,7.449999809265137,2015-06-26
11仓,7.449999809265137,2015-06-28
11仓,7.449999809265137,2015-06-29
11仓,5.850000381469727,2015-07-03
11仓,5.850000381469727,2015-07-04
11仓,9.74724006652832,2015-07-05
11仓,5.850000381469727,2015-07-06
11仓,7.550000190734863,2015-07-07
11仓,7.550000190734863,2015-07-08
11仓,7.5,2015-07-09
11仓,7.550000190734863,2015-07-10
11仓,7.550000190734863,2015-07-11
11仓,7.5,2015-07-12
11仓,7.550000190734863,2015-07-13
11仓,7.550000190734863,2015-07-14
11仓,7.550000190734863,2015-07-15
11仓,7.550000190734863,2015-07-16
11仓,7.550000190734863,2015-07-17
11仓,7.550000190734863,2015-07-18
11仓,7.550000190734863,2015-07-19
11仓,7.550000190734863,2015-07-20
11仓,7.600000381469727,2015-07-21
11仓,7.550000190734863,2015-07-22
11仓,7.550000190734863,2015-07-23
11仓,7.600000381469727,2015-07-24
11仓,7.600000381469727,2015-07-25
11仓,7.600000381469727,2015-07-26
11仓,7.600000381469727,2015-07-27
11仓,7.600000381469727,2015-07-28
11仓,7.600000381469727,2015-07-29
11仓,7.550000190734863,2015-07-30
11仓,7.550000190734863,2015-07-31
11仓,7.550000190734863,2015-08-01
11仓,7.600000381469727,2015-08-02
11仓,7.650000095367432,2015-08-03
11仓,7.650000095367432,2015-08-04
11仓,7.699999809265137,2015-08-05
11仓,7.649999618530273,2015-08-06
11仓,7.649999618530273,2015-08-07
11仓,7.649999618530273,2015-08-08
11仓,7.699999809265137,2015-08-09
11仓,7.699999809265137,2015-08-10
11仓,7.799999713897705,2015-08-11
11仓,7.799999713897705,2015-08-12
11仓,7.799999713897705,2015-08-13
11仓,7.75,2015-08-14
11仓,7.75,2015-08-15
11仓,7.849999904632568,2015-08-16
11仓,7.849999904632568,2015-08-17
11仓,7.849999904632568,2015-08-18
11仓,7.900000095367432,2015-08-19
11仓,8.0,2015-08-20
11仓,8.100000381469727,2015-08-21
11仓,8.199999809265137,2015-08-22
11仓,8.25,2015-08-23
11仓,8.25,2015-08-24
11仓,8.25,2015-08-25
11仓,8.25,2015-08-26
11仓,8.25,2015-08-27
11仓,8.300000190734863,2015-08-28
11仓,8.300000190734863,2015-08-29
11仓,8.300000190734863,2015-08-30
11仓,8.300000190734863,2015-08-31
11仓,8.300000190734863,2015-09-01
11仓,8.300000190734863,2015-09-02
11仓,8.399999618530273,2015-09-03
11仓,8.5,2015-09-04
11仓,8.649999618530273,2015-09-05
11仓,8.550000190734863,2015-09-06
11仓,8.649999618530273,2015-09-07
11仓,8.700000762939453,2015-09-08
11仓,8.700000762939453,2015-09-09
11仓,8.75,2015-09-10
11仓,8.75,2015-09-11
11仓,8.850000381469727,2015-09-12
11仓,8.899999618530273,2015-09-13
11仓,8.899999618530273,2015-09-14
11仓,9.0,2015-09-15
11仓,9.0,2015-09-16
11仓,9.149999618530273,2015-09-17
11仓,9.199999809265137,2015-09-18
11仓,9.199999809265137,2015-09-19
11仓,9.199999809265137,2015-09-20
11仓,9.299999237060547,2015-09-21
11仓,9.199999809265137,2015-09-22
11仓,9.399999618530273,2015-09-23
11仓,9.399999618530273,2015-09-24
11仓,9.449999809265137,2015-09-25
11仓,11.649999618530273,2015-09-26
11仓,20.799999237060547,2015-09-27
11仓,20.150001525878906,2015-09-28
11仓,19.350000381469727,2015-09-29
11仓,19.549999237060547,2015-09-30
11仓,19.700000762939453,2015-10-01
11仓,18.450000762939453,2015-10-02
11仓,16.299999237060547,2015-10-03
11仓,16.899999618530273,2015-10-04
11仓,17.049999237060547,2015-10-05
11仓,17.350000381469727,2015-10-07
11仓,17.450000762939453,2015-10-08
11仓,17.600000381469727,2015-10-09
11仓,17.799999237060547,2015-10-10
11仓,17.899999618530273,2015-10-11
11仓,18.049999237060547,2015-10-12
11仓,18.150001525878906,2015-10-13
11仓,18.299999237060547,2015-10-14
11仓,18.450000762939453,2015-10-15
11仓,18.799999237060547,2015-10-17
11仓,18.899999618530273,2015-10-18
11仓,19.749061584472656,2015-10-19
11仓,19.150001525878906,2015-10-20
11仓,19.299999237060547,2015-10-21
11仓,19.450000762939453,2015-10-22
11仓,19.700000762939453,2015-10-23
11仓,19.899999618530273,2015-10-25
11仓,20.049999237060547,2015-10-26
11仓,20.400001525878906,2015-10-28
11仓,17.149999618530273,2015-10-29
11仓,14.700000762939453,2015-10-30
11仓,11.899999618530273,2015-10-31
11仓,11.699999809265137,2015-11-01
11仓,10.75,2015-11-02
11仓,11.799999237060547,2015-11-03
11仓,11.449999809265137,2015-11-04
11仓,12.050000190734863,2015-11-05
11仓,12.149999618530273,2015-11-06
11仓,12.350000381469727,2015-11-07
11仓,12.600000381469727,2015-11-09
11仓,12.649999618530273,2015-11-10
11仓,12.699999809265137,2015-11-11
11仓,12.75,2015-11-12
11仓,12.800000190734863,2015-11-13
11仓,12.850000381469727,2015-11-14
11仓,13.0,2015-11-15
11仓,13.049999237060547,2015-11-16
11仓,13.149999618530273,2015-11-17
11仓,13.199999809265137,2015-11-18
11仓,13.25,2015-11-19
11仓,13.25,2015-11-20
11仓,13.350000381469727,2015-11-21
11仓,13.350000381469727,2015-11-22
11仓,13.5,2015-11-23
11仓,13.5,2015-11-24
11仓,13.600000381469727,2015-11-25
11仓,13.699999809265137,2015-11-26
11仓,13.75,2015-11-27
11仓,13.800000190734863,2015-11-28
11仓,13.850000381469727,2015-11-29
11仓,13.899999618530273,2015-11-30
11仓,14.0,2015-12-01
11仓,14.100000381469727,2015-12-02
11仓,14.149999618530273,2015-12-03
11仓,14.149999618530273,2015-12-04
11仓,14.25,2015-12-05
11仓,14.25,2015-12-06
11仓,14.300000190734863,2015-12-07
11仓,14.350000381469727,2015-12-08
11仓,14.450000762939453,2015-12-09
11仓,14.5,2015-12-10
11仓,14.5,2015-12-11
11仓,14.549999237060547,2015-12-12
11仓,14.649999618530273,2015-12-13
11仓,14.649999618530273,2015-12-14
11仓,14.699999809265137,2015-12-15
11仓,12.850000381469727,2015-12-16
11仓,3.950000047683716,2015-12-17
11仓,1.600000023841858,2015-12-18
11仓,3.236445665359497,2015-12-19
