仓库信息,平均温度,粮情时间
11仓,8.399999618530273,2015-09-07
11仓,8.549999237060547,2015-09-08
11仓,8.699999809265137,2015-09-09
11仓,8.5,2015-09-10
11仓,8.649999618530273,2015-09-11
11仓,8.799999237060547,2015-09-12
11仓,8.949999809265137,2015-09-13
11仓,9.0,2015-09-14
11仓,8.850000381469727,2015-09-15
11仓,8.850000381469727,2015-09-16
11仓,8.799999237060547,2015-09-17
11仓,8.799999237060547,2015-09-18
11仓,8.850000381469727,2015-09-19
11仓,8.949999809265137,2015-09-20
11仓,9.050000190734863,2015-09-21
11仓,9.25,2015-09-22
11仓,9.450000762939453,2015-09-23
11仓,9.549999237060547,2015-09-24
11仓,9.350000381469727,2015-09-25
11仓,8.5,2015-09-26
11仓,12.449999809265137,2015-09-27
11仓,16.799999237060547,2015-09-28
11仓,20.0,2015-09-29
11仓,19.75,2015-09-30
11仓,19.600000381469727,2015-10-01
11仓,20.149999618530273,2015-10-02
11仓,18.549999237060547,2015-10-03
11仓,17.149999618530273,2015-10-04
11仓,17.200000762939453,2015-10-05
11仓,17.399999618530273,2015-10-07
11仓,17.450000762939453,2015-10-08
11仓,17.5,2015-10-09
11仓,17.5,2015-10-10
11仓,17.650001525878906,2015-10-11
11仓,17.650001525878906,2015-10-12
11仓,17.799999237060547,2015-10-13
11仓,17.950000762939453,2015-10-14
11仓,18.0,2015-10-15
11仓,18.399999618530273,2015-10-17
11仓,18.450000762939453,2015-10-18
11仓,18.549999237060547,2015-10-19
11仓,18.75,2015-10-20
11仓,18.950000762939453,2015-10-21
11仓,19.0,2015-10-22
11仓,19.299999237060547,2015-10-23
11仓,19.549999237060547,2015-10-25
11仓,19.849998474121094,2015-10-26
11仓,20.25,2015-10-28
11仓,20.099998474121094,2015-10-29
11仓,18.200000762939453,2015-10-30
11仓,14.75,2015-10-31
11仓,16.324787139892578,2015-11-01
11仓,12.100000381469727,2015-11-02
11仓,10.949999809265137,2015-11-03
11仓,10.949999809265137,2015-11-04
11仓,11.100000381469727,2015-11-05
11仓,11.199999809265137,2015-11-06
11仓,11.25,2015-11-07
11仓,11.449999809265137,2015-11-09
11仓,11.550000190734863,2015-11-10
11仓,11.550000190734863,2015-11-11
11仓,11.600000381469727,2015-11-12
11仓,11.700000762939453,2015-11-13
11仓,11.800000190734863,2015-11-14
11仓,11.899999618530273,2015-11-15
11仓,11.899999618530273,2015-11-16
11仓,11.949999809265137,2015-11-17
11仓,12.0,2015-11-18
11仓,12.050000190734863,2015-11-19
11仓,12.050000190734863,2015-11-20
11仓,12.100000381469727,2015-11-21
11仓,12.149999618530273,2015-11-22
11仓,12.199999809265137,2015-11-23
11仓,12.199999809265137,2015-11-24
11仓,12.299999237060547,2015-11-25
11仓,12.399999618530273,2015-11-26
11仓,12.399999618530273,2015-11-27
11仓,12.449999809265137,2015-11-28
11仓,12.5,2015-11-29
11仓,12.550000190734863,2015-11-30
11仓,12.600000381469727,2015-12-01
11仓,12.600000381469727,2015-12-02
11仓,12.700000762939453,2015-12-03
11仓,12.800000190734863,2015-12-04
11仓,12.800000190734863,2015-12-05
11仓,12.899999618530273,2015-12-06
11仓,12.899999618530273,2015-12-07
11仓,12.899999618530273,2015-12-08
11仓,13.0,2015-12-09
11仓,13.0,2015-12-10
11仓,13.0,2015-12-11
11仓,13.100000381469727,2015-12-12
11仓,13.100000381469727,2015-12-13
11仓,13.149999618530273,2015-12-14
11仓,13.199999809265137,2015-12-15
11仓,14.399999618530273,2015-12-16
11仓,10.550000190734863,2015-12-17
11仓,4.349999904632568,2015-12-18
11仓,1.600000023841858,2015-12-19
11仓,3.0259037017822266,2015-12-20
11仓,1.1500000953674316,2015-12-21
11仓,1.1500000953674316,2015-12-22
11仓,1.350000023841858,2015-12-23
11仓,1.5,2015-12-24
11仓,1.5999999046325684,2015-12-25
11仓,1.649999976158142,2015-12-26
11仓,1.75,2015-12-27
11仓,1.75,2015-12-28
11仓,1.75,2015-12-29
11仓,1.8499999046325684,2015-12-30
11仓,1.649999976158142,2015-12-31
11仓,1.7000000476837158,2016-01-01
11仓,1.7000000476837158,2016-01-02
11仓,1.75,2016-01-03
11仓,1.9500000476837158,2016-01-04
11仓,1.9500000476837158,2016-01-05
11仓,1.9500000476837158,2016-01-06
11仓,2.0,2016-01-07
11仓,2.0,2016-01-08
11仓,2.0,2016-01-09
11仓,2.0,2016-01-10
11仓,2.0,2016-01-11
11仓,2.049999952316284,2016-01-12
11仓,2.0,2016-01-13
11仓,2.049999952316284,2016-01-14
11仓,2.049999952316284,2016-01-15
11仓,2.049999952316284,2016-01-16
11仓,2.049999952316284,2016-01-17
11仓,2.049999952316284,2016-01-18
11仓,2.0999999046325684,2016-01-19
11仓,2.0999999046325684,2016-01-20
11仓,2.0999999046325684,2016-01-21
11仓,2.0999999046325684,2016-01-22
11仓,2.0999999046325684,2016-01-23
11仓,2.0999999046325684,2016-01-24
11仓,2.0999999046325684,2016-01-25
11仓,2.1500000953674316,2016-01-26
11仓,2.25,2016-01-27
11仓,2.25,2016-01-28
11仓,2.25,2016-01-29
11仓,2.25,2016-01-30
11仓,2.25,2016-02-01
11仓,3.25,2016-02-02
11仓,2.299999952316284,2016-02-03
11仓,2.25,2016-02-04
11仓,2.299999952316284,2016-02-05
11仓,2.299999952316284,2016-02-06
11仓,2.299999952316284,2016-02-07
11仓,2.299999952316284,2016-02-08
11仓,2.3499999046325684,2016-02-13
11仓,2.3499999046325684,2016-02-14
11仓,2.3499999046325684,2016-02-15
11仓,2.4000000953674316,2016-02-16
11仓,2.3499999046325684,2016-02-17
11仓,2.3499999046325684,2016-02-18
11仓,2.3499999046325684,2016-02-19
11仓,2.3499999046325684,2016-02-20
11仓,2.3499999046325684,2016-02-21
11仓,2.3499999046325684,2016-02-22
11仓,2.450000047683716,2016-02-23
11仓,2.3499999046325684,2016-02-24
11仓,2.450000047683716,2016-02-25
11仓,2.3499999046325684,2016-02-26
11仓,2.450000047683716,2016-02-27
11仓,2.5,2016-02-28
11仓,2.5,2016-02-29
11仓,2.5,2016-03-01
11仓,2.5,2016-03-02
11仓,2.5,2016-03-03
11仓,2.5,2016-03-04
11仓,2.5,2016-03-05
11仓,2.5,2016-03-06
11仓,2.5,2016-03-07
11仓,2.5,2016-03-08
11仓,2.5,2016-03-09
11仓,2.549999952316284,2016-03-10
11仓,2.5,2016-03-11
11仓,2.549999952316284,2016-03-12
11仓,2.549999952316284,2016-03-13
11仓,2.549999952316284,2016-03-14
11仓,2.549999952316284,2016-03-15
11仓,2.549999952316284,2016-03-16
11仓,2.549999952316284,2016-03-17
11仓,2.549999952316284,2016-03-18
11仓,2.549999952316284,2016-03-19
11仓,2.5999999046325684,2016-03-20
11仓,2.6500000953674316,2016-03-21
11仓,2.6500000953674316,2016-03-22
11仓,2.549999952316284,2016-03-23
11仓,2.549999952316284,2016-03-24
11仓,2.5999999046325684,2016-03-25
11仓,2.6999998092651367,2016-03-26
11仓,2.6999998092651367,2016-03-27
11仓,2.5999999046325684,2016-03-28
11仓,2.5999999046325684,2016-03-29
11仓,2.6999998092651367,2016-03-31
11仓,2.6999998092651367,2016-04-01
11仓,2.6999998092651367,2016-04-02
11仓,2.6999998092651367,2016-04-04
11仓,2.6999998092651367,2016-04-05
11仓,2.799999952316284,2016-04-06
11仓,2.6999998092651367,2016-04-07
11仓,2.799999952316284,2016-04-08
11仓,2.799999952316284,2016-04-09
11仓,2.799999952316284,2016-04-11
11仓,2.799999952316284,2016-04-12
11仓,2.799999952316284,2016-04-13
11仓,2.8499999046325684,2016-04-14
11仓,2.8499999046325684,2016-04-15
11仓,2.8499999046325684,2016-04-16
11仓,2.8499999046325684,2016-04-17
11仓,2.9000000953674316,2016-04-18
11仓,2.8499999046325684,2016-04-19
11仓,2.8499999046325684,2016-04-20
11仓,2.9000000953674316,2016-04-21
11仓,2.9000000953674316,2016-04-22
11仓,2.9000000953674316,2016-04-23
11仓,2.9000000953674316,2016-04-24
11仓,2.9000000953674316,2016-04-25
11仓,2.9000000953674316,2016-04-26
11仓,2.950000047683716,2016-04-27
11仓,2.950000047683716,2016-04-28
11仓,2.950000047683716,2016-04-30
11仓,3.0,2016-05-02
11仓,3.0,2016-05-03
11仓,3.049999952316284,2016-05-04
11仓,3.049999952316284,2016-05-05
11仓,3.049999952316284,2016-05-06
11仓,3.0999999046325684,2016-05-07
11仓,3.049999952316284,2016-05-08
11仓,3.049999952316284,2016-05-09
11仓,3.1500000953674316,2016-05-10
11仓,3.0999999046325684,2016-05-11
11仓,3.1500000953674316,2016-05-12
11仓,3.0500001907348633,2016-05-13
11仓,3.0999999046325684,2016-05-14
11仓,3.200000047683716,2016-05-16
11仓,3.25,2016-05-17
11仓,3.3000001907348633,2016-05-18
11仓,3.3000001907348633,2016-05-19
11仓,3.3000001907348633,2016-05-20
11仓,3.3000001907348633,2016-05-21
11仓,3.450000047683716,2016-05-22
11仓,3.450000047683716,2016-05-23
11仓,3.450000047683716,2016-05-24
11仓,3.450000047683716,2016-05-25
11仓,3.5,2016-05-26
11仓,3.5,2016-05-27
11仓,3.549999952316284,2016-05-28
11仓,3.6500000953674316,2016-05-29
11仓,3.6500000953674316,2016-05-30
11仓,3.5999999046325684,2016-06-01
11仓,3.700000047683716,2016-06-02
11仓,3.75,2016-06-03
11仓,3.75,2016-06-04
11仓,3.75,2016-06-05
11仓,3.799999952316284,2016-06-06
11仓,3.9000000953674316,2016-06-07
11仓,3.799999952316284,2016-06-08
11仓,3.9499998092651367,2016-06-09
11仓,3.9499998092651367,2016-06-10
11仓,3.9499998092651367,2016-06-11
11仓,4.0,2016-06-12
11仓,4.050000190734863,2016-06-13
11仓,4.150000095367432,2016-06-14
11仓,4.150000095367432,2016-06-15
11仓,4.150000095367432,2016-06-16
11仓,4.25,2016-06-17
11仓,4.25,2016-06-18
11仓,4.25,2016-06-19
11仓,4.349999904632568,2016-06-20
11仓,5.150000095367432,2016-07-06
11仓,5.150000095367432,2016-07-07
11仓,5.25,2016-07-08
11仓,5.300000190734863,2016-07-09
11仓,24.100000381469727,2016-07-10
11仓,25.5,2016-07-11
11仓,25.049999237060547,2016-07-12
11仓,25.350000381469727,2016-07-13
11仓,25.700000762939453,2016-07-14
11仓,25.649999618530273,2016-07-15
11仓,25.25,2016-07-16
11仓,25.400001525878906,2016-07-17
11仓,25.899999618530273,2016-07-18
11仓,26.350000381469727,2016-07-19
11仓,26.649999618530273,2016-07-20
11仓,27.049999237060547,2016-07-21
11仓,27.799999237060547,2016-07-22
11仓,28.350000381469727,2016-07-23
11仓,29.100000381469727,2016-07-24
11仓,30.0,2016-07-25
11仓,30.75,2016-07-26
11仓,31.200000762939453,2016-07-27
11仓,31.400001525878906,2016-07-28
11仓,32.20000076293945,2016-07-29
11仓,32.900001525878906,2016-07-30
11仓,29.200000762939453,2016-07-31
11仓,29.299999237060547,2016-08-01
11仓,29.400001525878906,2016-08-02
11仓,29.0,2016-08-03
11仓,28.799999237060547,2016-08-04
11仓,28.399999618530273,2016-08-05
11仓,27.600000381469727,2016-08-06
11仓,27.450000762939453,2016-08-07
11仓,27.299999237060547,2016-08-08
11仓,27.200000762939453,2016-08-09
11仓,27.299999237060547,2016-08-10
11仓,27.5,2016-08-11
11仓,27.900001525878906,2016-08-12
11仓,28.350000381469727,2016-08-13
11仓,28.799999237060547,2016-08-14
11仓,29.099998474121094,2016-08-15
11仓,30.350000381469727,2016-08-16
11仓,29.200000762939453,2016-08-17
11仓,29.0,2016-08-18
11仓,29.25,2016-08-19
11仓,29.299999237060547,2016-08-20
11仓,29.0,2016-08-21
11仓,29.0,2016-08-22
11仓,28.799999237060547,2016-08-23
11仓,28.799999237060547,2016-08-24
11仓,28.799999237060547,2016-08-25
11仓,28.700000762939453,2016-08-26
11仓,27.75,2016-08-27
11仓,27.299999237060547,2016-08-28
11仓,27.25,2016-08-29
11仓,27.299999237060547,2016-08-30
11仓,26.450000762939453,2016-08-31
11仓,25.950000762939453,2016-09-01
11仓,25.200000762939453,2016-09-02
11仓,26.599998474121094,2016-09-03
11仓,26.5,2016-09-04
11仓,25.25,2016-09-05
11仓,25.700000762939453,2016-09-06
11仓,25.100000381469727,2016-09-07
11仓,25.25,2016-09-08
11仓,25.400001525878906,2016-09-09
11仓,27.5,2016-09-10
11仓,26.200000762939453,2016-09-11
11仓,25.899999618530273,2016-09-12
11仓,25.599998474121094,2016-09-14
11仓,25.599998474121094,2016-09-15
11仓,24.299999237060547,2016-09-18
11仓,21.600000381469727,2016-09-19
11仓,21.100000381469727,2016-09-20
11仓,22.299999237060547,2016-09-21
11仓,22.0,2016-09-22
11仓,22.849998474121094,2016-09-23
11仓,22.899999618530273,2016-09-24
11仓,23.0,2016-09-25
11仓,23.100000381469727,2016-09-26
11仓,46.900001525878906,2017-01-03
11仓,47.04999923706055,2017-01-04
11仓,46.79999923706055,2017-01-05
11仓,46.79999923706055,2017-01-06
11仓,46.79999923706055,2017-01-07
11仓,46.79999923706055,2017-01-09
11仓,45.900001525878906,2017-01-10
11仓,7.199999809265137,2017-01-11
11仓,5.288888931274414,2017-01-12
11仓,4.899999618530273,2017-01-13
11仓,3.049999952316284,2017-01-16
11仓,3.1500000953674316,2017-01-17
11仓,3.4000000953674316,2017-01-18
11仓,3.450000047683716,2017-01-19
11仓,1.4500000476837158,2017-01-20
11仓,3.0,2017-01-22
11仓,0.5,2017-01-23
11仓,1.5,2017-01-24
11仓,1.75,2017-01-25
11仓,1.9500000476837158,2017-01-26
11仓,2.299999952316284,2017-01-27
11仓,2.5999999046325684,2017-01-28
11仓,2.799999952316284,2017-01-30
11仓,2.549999952316284,2017-01-31
11仓,2.450000047683716,2017-02-01
11仓,2.4000000953674316,2017-02-03
11仓,2.5,2017-02-04
11仓,2.950000047683716,2017-02-06
11仓,3.0,2017-02-07
11仓,2.9000000953674316,2017-02-08
11仓,2.75,2017-02-09
11仓,2.5999999046325684,2017-02-10
11仓,2.5999999046325684,2017-02-11
11仓,2.700000047683716,2017-02-12
11仓,2.75,2017-02-13
11仓,3.049999952316284,2017-02-14
11仓,3.4000000953674316,2017-02-15
11仓,3.8500001430511475,2017-02-16
11仓,4.199999809265137,2017-02-17
11仓,4.199999809265137,2017-02-20
11仓,4.199999809265137,2017-02-21
11仓,4.049999713897705,2017-02-22
11仓,3.950000047683716,2017-02-23
11仓,3.8500001430511475,2017-02-25
11仓,3.950000047683716,2017-02-26
11仓,4.049999713897705,2017-02-27
11仓,4.25,2017-02-28
11仓,4.5,2017-03-01
11仓,4.699999809265137,2017-03-02
11仓,4.75,2017-03-03
11仓,5.049999713897705,2017-03-06
11仓,5.049999713897705,2017-03-07
11仓,5.149999618530273,2017-03-08
11仓,5.149999618530273,2017-03-09
11仓,5.199999809265137,2017-03-10
11仓,5.899999618530273,2017-03-13
11仓,5.849999904632568,2017-03-14
11仓,5.699999809265137,2017-03-15
11仓,5.649999618530273,2017-03-16
11仓,5.849999904632568,2017-03-17
11仓,6.0,2017-03-20
11仓,5.949999809265137,2017-03-21
11仓,5.899999618530273,2017-03-22
11仓,5.649999618530273,2017-03-24
11仓,5.699999809265137,2017-03-27
11仓,5.899999618530273,2017-03-28
11仓,6.199999809265137,2017-03-29
11仓,6.199999809265137,2017-03-30
11仓,6.25,2017-03-31
11仓,6.300000190734863,2017-04-01
11仓,7.400000095367432,2017-04-05
11仓,7.599999904632568,2017-04-06
11仓,7.699999809265137,2017-04-07
11仓,7.949999809265137,2017-04-09
11仓,7.75,2017-04-10
11仓,7.5,2017-04-11
11仓,7.5,2017-04-12
11仓,7.649999618530273,2017-04-13
11仓,9.25,2017-04-17
11仓,9.5,2017-04-18
11仓,9.699999809265137,2017-04-19
11仓,9.899999618530273,2017-04-20
11仓,10.0,2017-04-22
11仓,10.050000190734863,2017-04-24
11仓,10.199999809265137,2017-04-25
11仓,10.300000190734863,2017-04-26
11仓,10.199999809265137,2017-04-27
11仓,10.199999809265137,2017-04-28
11仓,20.399999618530273,2017-05-01
11仓,20.600000381469727,2017-05-02
11仓,20.549999237060547,2017-05-03
11仓,18.25,2017-05-06
11仓,19.299999237060547,2017-05-08
11仓,18.700000762939453,2017-05-09
11仓,18.100000381469727,2017-05-10
11仓,18.649999618530273,2017-05-11
11仓,19.299999237060547,2017-05-12
11仓,20.299999237060547,2017-05-15
11仓,20.049999237060547,2017-05-16
11仓,20.150001525878906,2017-05-17
