date,0_days_air,10_days_air,10_days_grain,1_days_air,2_days_air,3_days_air,4_days_air,5_days_air,6_days_air,7_days_air,8_days_air,9_days_air,air_average,grain_average
2015-09-20,22.5,21.28,25.08,21.9,20.3,20.6,21.8,20.6,21.28,21.28,21.28,21.28,22.0,22.06197166442871
2015-09-21,22.0,21.39,24.3,22.5,21.9,20.3,20.6,21.8,20.6,21.39,21.39,21.39,21.5,22.61388969421387
2015-09-22,21.5,21.4,23.64,22.0,22.5,21.9,20.3,20.6,21.8,20.6,21.4,21.4,21.9,22.829164505004886
2015-09-23,21.9,21.46,23.02,21.5,22.0,22.5,21.9,20.3,20.6,21.8,20.6,21.46,21.5,22.947221755981445
2015-09-24,21.5,21.46,22.72,21.9,21.5,22.0,22.5,21.9,20.3,20.6,21.8,20.6,20.9,23.023611068725586
2015-09-25,20.9,20.6,22.45,21.5,21.9,21.5,22.0,22.5,21.9,20.3,20.6,21.8,22.5,23.07916831970215
2015-09-26,22.5,21.8,22.27,20.9,21.5,21.9,21.5,22.0,22.5,21.9,20.3,20.6,21.8,22.85739326477051
2015-09-27,21.8,20.6,22.22,22.5,20.9,21.5,21.9,21.5,22.0,22.5,21.9,20.3,20.2,23.04265594482422
2015-09-28,20.2,20.3,22.08,21.8,22.5,20.9,21.5,21.9,21.5,22.0,22.5,21.9,20.0,23.04391670227051
2015-09-29,20.0,21.9,21.96,20.2,21.8,22.5,20.9,21.5,21.9,21.5,22.0,22.5,21.5,23.0390567779541
2015-09-30,21.5,22.5,22.06,20.0,20.2,21.8,22.5,20.9,21.5,21.9,21.5,22.0,20.2,22.98835182189941
2015-10-01,20.2,22.0,22.61,21.5,20.0,20.2,21.8,22.5,20.9,21.5,21.9,21.5,19.8,22.84970283508301
2015-10-02,19.8,21.5,22.83,20.2,21.5,20.0,20.2,21.8,22.5,20.9,21.5,21.9,16.1,22.51383781433105
2015-10-03,16.1,21.9,22.95,19.8,20.2,21.5,20.0,20.2,21.8,22.5,20.9,21.5,19.1,22.446592330932614
2015-10-04,19.1,21.5,23.02,16.1,19.8,20.2,21.5,20.0,20.2,21.8,22.5,20.9,19.0,22.299489974975586
2015-10-05,19.0,20.9,23.08,19.1,16.1,19.8,20.2,21.5,20.0,20.2,21.8,22.5,20.1,22.226560592651367
2015-10-07,19.3,21.8,23.04,20.1,19.0,19.1,16.1,19.8,20.2,21.5,20.0,20.2,17.0,22.096166610717773
2015-10-08,17.0,20.2,23.04,19.3,20.1,19.0,19.1,16.1,19.8,20.2,21.5,20.0,18.1,21.85390281677246
2015-10-09,18.1,20.0,23.04,17.0,19.3,20.1,19.0,19.1,16.1,19.8,20.2,21.5,16.1,21.552709579467773
2015-10-10,16.1,21.5,22.99,18.1,17.0,19.3,20.1,19.0,19.1,16.1,19.8,20.2,15.1,21.257394790649414
2015-10-11,15.1,20.2,22.85,16.1,18.1,17.0,19.3,20.1,19.0,19.1,16.1,19.8,12.9,20.97875022888184
2015-10-12,12.9,19.8,22.51,15.1,16.1,18.1,17.0,19.3,20.1,19.0,19.1,16.1,14.1,21.18382835388184
2015-10-13,14.1,16.1,22.45,12.9,15.1,16.1,18.1,17.0,19.3,20.1,19.0,19.1,15.7,40.78889083862305
2015-10-14,15.7,19.1,22.3,14.1,12.9,15.1,16.1,18.1,17.0,19.3,20.1,19.0,16.5,21.64027976989746
2015-10-15,16.5,19.0,22.23,15.7,14.1,12.9,15.1,16.1,18.1,17.0,19.3,20.1,17.3,21.77083396911621
2015-10-17,17.7,19.3,22.1,17.3,16.5,15.7,14.1,12.9,15.1,16.1,18.1,17.0,17.3,23.88750267028809
2015-10-18,17.3,17.0,21.85,17.7,17.3,16.5,15.7,14.1,12.9,15.1,16.1,18.1,17.2,18.123611450195312
2015-10-19,17.2,18.1,21.55,17.3,17.7,17.3,16.5,15.7,14.1,12.9,15.1,16.1,15.9,18.906944274902344
2015-10-20,15.9,16.1,21.26,17.2,17.3,17.7,17.3,16.5,15.7,14.1,12.9,15.1,17.0,14.804165840148926
2015-10-21,17.0,15.1,20.98,15.9,17.2,17.3,17.7,17.3,16.5,15.7,14.1,12.9,17.8,13.456944465637207
2015-10-22,17.8,12.9,21.18,17.0,15.9,17.2,17.3,17.7,17.3,16.5,15.7,14.1,17.7,13.184721946716307
2015-10-23,17.7,14.1,40.79,17.8,17.0,15.9,17.2,17.3,17.7,17.3,16.5,15.7,17.4,14.819443702697756
2015-10-25,18.1,16.5,21.77,17.4,17.7,17.8,17.0,15.9,17.2,17.3,17.7,17.3,18.2,16.327777862548828
2015-10-27,16.2,17.7,23.89,18.2,18.1,17.4,17.7,17.8,17.0,15.9,17.2,17.3,13.6,16.886110305786133
2015-10-28,13.6,17.3,18.12,16.2,18.2,18.1,17.4,17.7,17.8,17.0,15.9,17.2,12.5,15.379165649414062
2015-10-29,12.5,17.2,18.91,13.6,16.2,18.2,18.1,17.4,17.7,17.8,17.0,15.9,14.6,16.177778244018555
2015-10-30,14.6,15.9,14.8,12.5,13.6,16.2,18.2,18.1,17.4,17.7,17.8,17.0,11.9,18.11250114440918
2015-10-31,11.9,17.0,13.46,14.6,12.5,13.6,16.2,18.2,18.1,17.4,17.7,17.8,10.3,18.50416755676269
2015-11-01,10.3,17.8,13.18,11.9,14.6,12.5,13.6,16.2,18.2,18.1,17.4,17.7,11.5,17.75555419921875
2015-11-02,11.5,17.7,14.82,10.3,11.9,14.6,12.5,13.6,16.2,18.2,18.1,17.4,11.0,16.720832824707028
2015-11-04,11.5,18.1,16.33,11.0,11.5,10.3,11.9,14.6,12.5,13.6,16.2,18.2,16.2,16.293054580688473
2015-11-05,16.2,18.2,16.7,11.5,11.0,11.5,10.3,11.9,14.6,12.5,13.6,16.2,17.4,16.272222518920902
2015-11-06,17.4,16.2,16.89,16.2,11.5,11.0,11.5,10.3,11.9,14.6,12.5,13.6,19.7,16.456945419311527
2015-11-07,19.7,13.6,15.38,17.4,16.2,11.5,11.0,11.5,10.3,11.9,14.6,12.5,12.4,16.88194465637207
2015-11-09,10.1,14.6,18.11,12.4,19.7,17.4,16.2,11.5,11.0,11.5,10.3,11.9,9.2,16.30000114440918
2015-11-10,9.2,11.9,18.5,10.1,12.4,19.7,17.4,16.2,11.5,11.0,11.5,10.3,8.8,15.834721565246582
2015-11-11,8.8,10.3,17.76,9.2,10.1,12.4,19.7,17.4,16.2,11.5,11.0,11.5,11.3,15.438888549804688
2015-11-12,11.3,11.5,16.72,8.8,9.2,10.1,12.4,19.7,17.4,16.2,11.5,11.0,11.0,15.25833225250244
2015-11-13,11.0,11.0,16.41,11.3,8.8,9.2,10.1,12.4,19.7,17.4,16.2,11.5,11.9,15.141667366027832
2015-11-14,11.9,11.5,16.29,11.0,11.3,8.8,9.2,10.1,12.4,19.7,17.4,16.2,11.5,14.98194408416748
2015-11-15,11.5,16.2,16.27,11.9,11.0,11.3,8.8,9.2,10.1,12.4,19.7,17.4,11.9,14.829167366027832
2015-11-16,11.9,17.4,16.46,11.5,11.9,11.0,11.3,8.8,9.2,10.1,12.4,19.7,13.0,14.741665840148926
2015-11-17,13.0,19.7,16.88,11.9,11.5,11.9,11.0,11.3,8.8,9.2,10.1,12.4,11.6,14.772221565246582
